tour,calendar_year,date,event_name,event_id,sg_categories,traditional_stats
afr,2022,2022-08-07,Vodacom Origins of Golf,9647,no,no
kft,2022,2022-08-07,Utah Championship presented by Zions Bank,26,no,no
asa,2022,2022-08-07,Mandiri Indonesia Open 2022,9642,no,no
champ,2022,2022-08-07,Shaw Charity Classic,17,no,no
cha,2022,2022-08-07,Vierumäki Finnish Challenge,2022319,no,no
ept,2022,2022-08-07,The Dell Technologies Championship,9645,no,no
pga,2022,2022-08-07,Wyndham Championship,13,yes,yes
cha,2022,2022-07-31,Irish Challenge,2022318,no,no
afr,2022,2022-07-31,FNB Eswatini Nkonyeni Challenge,9637,no,no
euro,2022,2022-07-31,Hero Open,2022128,no,no
ngl,2022,2022-07-31,Holtsmark Open,9635,no,no
can,2022,2022-07-31,Sotheby's International Realty Canada Ontario Open,54,no,no
pga,2022,2022-07-31,Rocket Mortgage Classic,524,yes,yes
atvt,2022,2022-07-31,Minami Akita Country Club Michinoku Challenge Tournament,9636,no,no
atgt,2022,2022-07-31,Singha Championship 2022,9633,no,no
ept,2022,2022-07-31,The Q Hotels Collection Championship,9634,no,no
liv,2022,2022-07-31,Bedminster,3,no,basic
can,2022,2022-07-24,Osprey Valley Open presented by Votorantim Cimentos CBM Aggregates,48,no,no
euro,2022,2022-07-24,Cazoo Classic,2022127,no,no
alp,2022,2022-07-24,Roma Alps Open 2022,9626,no,no
pga,2022,2022-07-24,3M Open,525,yes,yes
atgt,2022,2022-07-24,Singha Pattaya Open 2022,9625,no,no
atvt,2022,2022-07-24,JAPAN PLAYERS CHAMPIONSHIP CHALLENGE in FUKUI 2022,9628,no,no
cha,2022,2022-07-24,Big Green Egg German Challenge powered by VcG,2022317,no,no
kft,2022,2022-07-24,Price Cutter Charity Championship presented by Dr Pepper,22,no,no
ept,2022,2022-07-24,GLAL.UK Worcestershire Masters,9627,no,no
champ,2022,2022-07-24,The Senior Open Championship presented by Rolex,614,no,no
